City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Mahebourg,-20.4081,57.7,70.25,69,39,14.2,MU,2022-10-01 17:08:19,scattered clouds
1,Bathsheba,13.2167,-59.5167,88.41,70,40,13.8,BB,2022-10-01 17:05:31,scattered clouds
2,Klaksvik,62.2266,-6.589,50.92,87,68,17.25,FO,2022-10-01 17:08:20,broken clouds
3,Mehamn,71.0357,27.8492,40.91,100,100,2.3,NO,2022-10-01 17:08:06,overcast clouds
4,Tessalit,20.1986,1.0114,89.96,30,78,8.34,ML,2022-10-01 17:08:20,broken clouds
5,Shache,38.4167,77.2406,70.43,23,100,10.45,CN,2022-10-01 17:08:20,overcast clouds
6,Iqaluit,63.7506,-68.5145,32.7,69,90,20.0,CA,2022-10-01 17:08:11,overcast clouds
7,Hermanus,-34.4187,19.2345,61.81,72,100,9.1,ZA,2022-10-01 17:08:21,overcast clouds
8,Saint-Philippe,-21.3585,55.7679,69.39,77,41,11.07,RE,2022-10-01 17:08:21,scattered clouds
9,Dikson,73.5069,80.5464,34.29,99,100,13.65,RU,2022-10-01 17:08:22,overcast clouds
10,Vardo,70.3705,31.1107,35.58,87,100,2.3,NO,2022-10-01 17:08:22,overcast clouds
11,Castro,-24.7911,-50.0119,68.74,70,84,6.49,BR,2022-10-01 17:08:23,broken clouds
12,Bubaque,11.2833,-15.8333,81.18,78,99,13.04,GW,2022-10-01 17:08:23,overcast clouds
13,Ust-Koksa,50.2696,85.6108,21.49,64,7,0.92,RU,2022-10-01 17:08:24,clear sky
14,Ushuaia,-54.8,-68.3,46.06,57,75,25.32,AR,2022-10-01 17:08:24,broken clouds
15,Carauari,-4.8828,-66.8958,95.99,38,100,3.76,BR,2022-10-01 17:05:10,overcast clouds
16,Arlit,18.7369,7.3853,91.83,32,68,5.97,NE,2022-10-01 17:08:25,broken clouds
17,Hithadhoo,-0.6,73.0833,81.73,72,96,13.0,MV,2022-10-01 17:08:25,overcast clouds
18,Gazojak,41.1875,61.4036,58.6,13,1,18.12,TM,2022-10-01 17:08:26,clear sky
19,Luderitz,-26.6481,15.1594,62.73,70,0,12.41,NA,2022-10-01 17:08:26,clear sky
20,Tasiilaq,65.6145,-37.6368,41.16,99,100,4.99,GL,2022-10-01 17:08:26,light rain
21,Manjacaze,-24.7117,33.8828,73.49,66,0,11.45,MZ,2022-10-01 17:08:27,clear sky
22,Hofn,64.2539,-15.2082,46.71,90,100,4.21,IS,2022-10-01 17:08:27,overcast clouds
23,Saldanha,-33.0117,17.9442,60.04,77,98,20.04,ZA,2022-10-01 17:08:28,overcast clouds
24,Victoria,22.2855,114.1577,83.32,85,60,10.0,HK,2022-10-01 17:07:50,broken clouds
25,Rawson,-43.3002,-65.1023,62.26,34,9,9.44,AR,2022-10-01 17:08:28,clear sky
26,Qaanaaq,77.484,-69.3632,9.45,75,0,5.84,GL,2022-10-01 17:08:29,clear sky
27,Potoci,43.4086,17.8786,63.28,94,90,2.59,BA,2022-10-01 17:08:29,overcast clouds
28,Kinna,57.5073,12.6946,51.75,90,100,8.01,SE,2022-10-01 17:08:29,light rain
29,Dhidhdhoo,6.8833,73.1,82.02,78,95,18.37,MV,2022-10-01 17:08:30,overcast clouds
30,Jamestown,42.097,-79.2353,60.94,62,0,11.5,US,2022-10-01 17:08:30,clear sky
31,Ostrovnoy,68.0531,39.5131,35.62,96,100,11.74,RU,2022-10-01 17:04:07,overcast clouds
32,Mar Del Plata,-38.0023,-57.5575,69.82,43,0,5.75,AR,2022-10-01 17:08:31,clear sky
33,Coihueco,-36.6167,-71.8333,61.54,67,75,3.44,CL,2022-10-01 17:08:31,broken clouds
34,Veraval,20.9,70.3667,80.4,78,1,8.79,IN,2022-10-01 17:08:31,clear sky
35,Accra,5.556,-0.1969,78.21,81,48,13.87,GH,2022-10-01 17:08:32,scattered clouds
36,Qaqortoq,60.7167,-46.0333,38.55,93,100,6.24,GL,2022-10-01 17:08:32,light rain
37,Cape Town,-33.9258,18.4232,63.27,70,100,11.01,ZA,2022-10-01 17:08:23,overcast clouds
38,Bengkulu,-3.8004,102.2655,75.16,95,99,5.01,ID,2022-10-01 17:08:33,moderate rain
39,Port Alfred,-33.5906,26.891,59.18,90,82,6.38,ZA,2022-10-01 17:08:33,broken clouds
40,Punta Arenas,-53.15,-70.9167,48.31,46,40,25.32,CL,2022-10-01 17:08:34,scattered clouds
41,Hualmay,-11.0964,-77.6139,68.0,68,43,11.18,PE,2022-10-01 17:08:34,scattered clouds
42,Souillac,-20.5167,57.5167,69.87,69,51,13.27,MU,2022-10-01 17:08:34,broken clouds
43,Azacualpa,15.3433,-88.5514,81.25,68,99,3.53,HN,2022-10-01 17:09:35,overcast clouds
44,Port Elizabeth,-33.918,25.5701,61.32,87,66,5.01,ZA,2022-10-01 17:09:35,broken clouds
45,Talnakh,69.4865,88.3972,29.21,97,100,6.04,RU,2022-10-01 17:09:35,light snow
46,Torbay,47.6666,-52.7314,65.88,53,3,11.99,CA,2022-10-01 17:09:36,clear sky
47,Longyearbyen,78.2186,15.6401,37.24,93,75,4.61,SJ,2022-10-01 17:09:36,broken clouds
48,Cap Malheureux,-19.9842,57.6142,70.47,70,4,4.0,MU,2022-10-01 17:09:37,clear sky
49,Douentza,14.9951,-2.9517,89.67,45,87,19.37,ML,2022-10-01 17:09:37,light rain
50,Nieuw Amsterdam,5.8833,-55.0833,92.01,58,40,6.91,SR,2022-10-01 17:09:37,scattered clouds
51,Lagoa,39.05,-27.9833,71.29,78,14,20.2,PT,2022-10-01 17:09:38,few clouds
52,Pereslavl-Zalesskiy,56.7393,38.8563,54.28,98,100,4.88,RU,2022-10-01 17:09:38,overcast clouds
53,Faya,18.3851,42.4509,64.92,60,16,5.93,SA,2022-10-01 17:08:26,few clouds
54,Bolshevik,54.0065,27.5692,49.62,93,86,4.03,BY,2022-10-01 17:09:39,overcast clouds
55,Padang,-0.9492,100.3543,73.45,90,100,2.57,ID,2022-10-01 17:09:39,moderate rain
56,Faratsiho,-19.4,46.95,59.7,44,0,4.41,MG,2022-10-01 17:09:39,clear sky
57,Upernavik,72.7868,-56.1549,22.86,80,42,6.17,GL,2022-10-01 17:09:40,scattered clouds
58,Abu Samrah,35.3029,37.1841,84.79,19,0,9.6,SY,2022-10-01 17:09:40,clear sky
59,Manica,49.0,-1.1667,59.5,85,82,11.07,FR,2022-10-01 17:09:40,broken clouds
60,Narsaq,60.9167,-46.05,39.42,98,100,5.37,GL,2022-10-01 17:09:41,light rain
61,Intipuca,13.1969,-88.0544,86.34,56,100,3.24,SV,2022-10-01 17:09:41,overcast clouds
62,Xai-Xai,-25.0519,33.6442,72.61,78,0,15.48,MZ,2022-10-01 17:09:42,clear sky
63,Saint-Augustin,51.226,-58.6502,51.87,34,30,15.64,CA,2022-10-01 17:09:42,scattered clouds
64,Shchigry,51.8755,36.9043,62.42,86,100,11.32,RU,2022-10-01 17:09:42,overcast clouds
65,Coquimbo,-29.9533,-71.3436,55.13,94,100,5.75,CL,2022-10-01 17:09:43,overcast clouds
66,Sao Filipe,14.8961,-24.4956,79.32,78,17,9.6,CV,2022-10-01 17:09:43,few clouds
67,Ribeira Grande,38.5167,-28.7,73.8,78,75,21.85,PT,2022-10-01 17:09:43,broken clouds
68,Parsabad,39.6482,47.9174,72.68,40,0,11.81,IR,2022-10-01 17:09:44,clear sky
69,Knysna,-34.0363,23.0471,58.37,82,82,3.56,ZA,2022-10-01 17:09:44,broken clouds
70,Gat,31.61,34.7642,83.39,100,0,7.63,IL,2022-10-01 17:09:44,clear sky
71,Turkmenabat,39.0733,63.5786,64.69,20,0,12.66,TM,2022-10-01 17:09:45,clear sky
72,Clyde River,70.4692,-68.5914,27.21,65,7,10.71,CA,2022-10-01 17:09:45,clear sky
73,Richards Bay,-28.783,32.0377,70.3,82,99,14.32,ZA,2022-10-01 17:09:46,overcast clouds
74,Nicoya,10.1483,-85.452,79.07,83,100,2.1,CR,2022-10-01 17:09:46,overcast clouds
75,Port-Gentil,-0.7193,8.7815,76.96,88,75,6.91,GA,2022-10-01 17:09:46,broken clouds
76,Tahoua,14.8888,5.2692,96.13,27,21,12.86,NE,2022-10-01 17:09:47,few clouds
77,Nanortalik,60.1432,-45.2371,40.21,83,99,4.43,GL,2022-10-01 17:09:47,overcast clouds
78,Mazagao,-0.115,-51.2894,95.05,40,35,6.42,BR,2022-10-01 17:09:47,scattered clouds
79,Busselton,-33.65,115.3333,54.82,86,45,14.67,AU,2022-10-01 17:09:48,scattered clouds
80,Codrington,-38.2667,141.9667,45.45,89,0,5.14,AU,2022-10-01 17:09:48,clear sky
81,Namibe,-15.1961,12.1522,67.39,84,25,8.77,AO,2022-10-01 17:09:49,scattered clouds
82,Sioux Lookout,50.1001,-91.917,51.51,59,88,9.31,CA,2022-10-01 17:09:49,overcast clouds
83,Moyale,3.5167,39.0584,77.11,42,31,9.28,KE,2022-10-01 17:09:49,scattered clouds
84,East London,-33.0153,27.9116,65.19,70,89,6.49,ZA,2022-10-01 17:09:50,overcast clouds
85,Marawi,7.9986,124.2928,69.01,95,96,0.85,PH,2022-10-01 17:09:50,overcast clouds
86,Batetskiy,58.6461,30.3027,45.73,80,100,3.38,RU,2022-10-01 17:09:50,overcast clouds
87,Pietersburg,-23.9045,29.4688,76.51,23,0,11.03,ZA,2022-10-01 17:09:51,clear sky
88,Kondol,52.8189,45.058,57.67,87,94,10.38,RU,2022-10-01 17:10:51,overcast clouds
89,Berlevag,70.8578,29.0864,40.95,87,100,6.91,NO,2022-10-01 17:10:51,overcast clouds
90,Cidreira,-30.1811,-50.2056,66.04,72,74,13.71,BR,2022-10-01 17:10:52,broken clouds
91,Rondonopolis,-16.4708,-54.6356,101.53,26,25,4.76,BR,2022-10-01 17:08:53,scattered clouds
92,Ponta Do Sol,32.6667,-17.1,75.83,67,81,2.62,PT,2022-10-01 17:10:52,broken clouds
93,Lebu,-37.6167,-73.65,58.28,70,10,14.54,CL,2022-10-01 17:10:53,clear sky
94,Road Town,18.4167,-64.6167,87.89,79,40,9.22,VG,2022-10-01 17:10:53,scattered clouds
95,Bougouni,11.417,-7.479,82.49,78,95,2.82,ML,2022-10-01 17:10:53,light rain
96,Yokadouma,3.5167,15.05,72.1,94,83,2.15,CM,2022-10-01 17:10:54,light rain
97,Margate,51.3813,1.3862,63.88,65,30,3.0,GB,2022-10-01 17:10:54,scattered clouds
98,Tara,56.8944,74.371,29.17,69,44,2.3,RU,2022-10-01 17:10:55,scattered clouds
99,Natal,-5.795,-35.2094,84.85,58,40,16.11,BR,2022-10-01 17:10:55,scattered clouds
100,Ornskoldsvik,63.2909,18.7153,49.15,93,100,3.44,SE,2022-10-01 17:10:55,overcast clouds
101,Chuy,-33.6971,-53.4616,64.65,63,18,9.55,UY,2022-10-01 17:10:56,few clouds
102,Disna,55.568,28.1971,45.55,96,100,4.03,BY,2022-10-01 17:10:56,overcast clouds
103,Sao Luiz Gonzaga,-28.4083,-54.9608,69.28,62,80,4.21,BR,2022-10-01 17:10:56,broken clouds
104,Korla,41.7597,86.1469,56.1,29,100,8.41,CN,2022-10-01 17:07:03,overcast clouds
105,Mana,5.6592,-53.7767,87.03,61,20,10.98,GF,2022-10-01 17:10:57,few clouds
106,Beyneu,45.3167,55.2,63.27,39,77,20.87,KZ,2022-10-01 17:10:57,broken clouds
107,Sorrento,40.626,14.3744,69.87,84,45,7.0,IT,2022-10-01 17:09:09,scattered clouds
108,Jutai,-5.1833,-68.9,93.9,40,97,3.98,BR,2022-10-01 17:10:58,overcast clouds
109,Korampallam,8.7667,78.1,83.77,62,100,12.64,IN,2022-10-01 17:10:58,overcast clouds
110,Katrineholm,58.9959,16.2072,54.84,78,100,8.14,SE,2022-10-01 17:10:59,overcast clouds
111,Praia Da Vitoria,38.7333,-27.0667,75.76,74,27,18.12,PT,2022-10-01 17:10:59,scattered clouds
112,Marienburg,54.0359,19.0266,55.89,70,100,8.32,PL,2022-10-01 17:09:28,overcast clouds
113,Frederick,39.4668,-77.3997,58.95,95,100,9.22,US,2022-10-01 17:11:00,mist
114,Saquisili,-0.8333,-78.6667,56.52,74,75,14.97,EC,2022-10-01 17:11:00,broken clouds
115,Makokou,0.5738,12.8642,73.04,94,57,2.17,GA,2022-10-01 17:11:00,light rain
116,Los Llanos De Aridane,28.6585,-17.9182,71.35,74,75,13.8,ES,2022-10-01 17:11:01,broken clouds
117,Luanda,-8.8368,13.2343,75.36,82,16,13.29,AO,2022-10-01 17:08:17,few clouds
118,Mut,36.6439,33.4389,82.67,31,0,10.38,TR,2022-10-01 17:11:01,clear sky
119,Melfi,40.9965,15.6514,62.19,68,45,11.52,IT,2022-10-01 17:11:02,scattered clouds
120,Boralday,43.3578,76.8594,37.26,38,40,4.47,KZ,2022-10-01 17:11:02,scattered clouds
121,Riyadh,24.6877,46.7219,87.94,12,0,8.99,SA,2022-10-01 17:10:02,clear sky
122,La Mana,-0.9333,-79.2167,87.64,51,97,3.4,EC,2022-10-01 17:11:02,overcast clouds
123,Rio Grande,-32.035,-52.0986,68.11,79,43,11.43,BR,2022-10-01 17:08:39,scattered clouds
124,Sarab,38.6066,44.9883,69.28,36,0,4.97,IR,2022-10-01 17:11:03,clear sky
125,Baramati,18.15,74.5833,77.31,73,74,8.68,IN,2022-10-01 17:11:03,broken clouds
126,Grindavik,63.8424,-22.4338,48.67,87,75,23.02,IS,2022-10-01 17:07:05,broken clouds
127,Marsaxlokk,35.8419,14.5431,79.41,65,20,16.11,MT,2022-10-01 17:11:04,few clouds
128,Cedeno,7.0464,-72.1634,81.3,75,93,4.21,CO,2022-10-01 17:11:04,overcast clouds
129,Yurga,55.7231,84.8861,28.35,86,77,2.15,RU,2022-10-01 17:11:05,broken clouds
130,Olafsvik,64.8945,-23.7142,47.71,89,100,15.59,IS,2022-10-01 17:11:05,overcast clouds
131,Bambous Virieux,-20.3428,57.7575,70.21,83,75,6.91,MU,2022-10-01 17:11:06,broken clouds
132,Laguna,38.421,-121.4238,83.01,61,0,5.75,US,2022-10-01 17:06:42,clear sky
133,Venado Tuerto,-33.7456,-61.9688,76.77,17,57,7.31,AR,2022-10-01 17:12:07,broken clouds
134,Kortkeros,61.8106,51.5806,46.4,97,100,8.08,RU,2022-10-01 17:12:07,light rain
135,Mandera,3.9366,41.867,90.91,31,52,14.12,KE,2022-10-01 17:12:07,broken clouds
136,Kruisfontein,-34.0033,24.7314,57.31,76,55,4.23,ZA,2022-10-01 17:12:08,broken clouds
137,Bandarbeyla,9.4942,50.8122,78.44,77,48,21.85,SO,2022-10-01 17:12:08,scattered clouds
138,Panagar,23.3,79.9833,75.13,69,96,2.48,IN,2022-10-01 17:12:09,overcast clouds
139,Georgetown,5.4112,100.3354,78.73,85,20,4.61,MY,2022-10-01 17:10:38,few clouds
140,Aranos,-24.1333,19.1167,84.31,13,3,9.62,NA,2022-10-01 17:12:09,clear sky
141,Baie-Comeau,49.2168,-68.1489,53.28,47,0,6.91,CA,2022-10-01 17:12:09,clear sky
142,Leh,34.1667,77.5833,50.49,35,11,6.29,IN,2022-10-01 17:12:10,few clouds
143,Volosovo,59.4333,29.4833,43.07,89,87,3.36,RU,2022-10-01 17:12:11,overcast clouds
144,Mocuba,-16.8392,36.9856,76.66,55,0,9.24,MZ,2022-10-01 17:12:11,clear sky
145,Troy,42.6056,-83.1499,67.89,61,0,12.66,US,2022-10-01 17:12:12,clear sky
146,Salinopolis,-0.6136,-47.3561,85.17,66,62,14.03,BR,2022-10-01 17:12:12,broken clouds
147,Husavik,66.0449,-17.3389,47.34,89,100,20.02,IS,2022-10-01 17:12:12,overcast clouds
148,Beira,-19.8436,34.8389,75.29,83,20,11.5,MZ,2022-10-01 17:12:13,few clouds
149,Olinda,-8.0089,-34.8553,82.13,61,40,12.66,BR,2022-10-01 17:12:13,scattered clouds
150,Paamiut,61.994,-49.6678,36.75,98,100,17.92,GL,2022-10-01 17:12:03,light rain
151,Yozgat,39.5833,35.3333,66.81,32,0,3.04,TR,2022-10-01 17:12:14,clear sky
152,Roald,62.5833,6.1333,58.12,82,75,3.44,NO,2022-10-01 17:12:14,broken clouds
153,Saint George,37.1041,-113.5841,79.43,28,0,6.91,US,2022-10-01 17:12:15,clear sky
154,Pangnirtung,66.1451,-65.7125,34.65,47,99,1.16,CA,2022-10-01 17:12:15,overcast clouds
155,Stanovoye,52.7638,38.3582,59.86,89,86,9.6,RU,2022-10-01 17:12:16,light rain
156,Atar,20.5169,-13.0499,89.64,20,0,7.87,MR,2022-10-01 17:12:16,clear sky
157,Thompson,55.7435,-97.8558,46.56,53,0,8.05,CA,2022-10-01 17:12:17,clear sky
158,Leesburg,39.1157,-77.5636,58.98,96,100,8.05,US,2022-10-01 17:12:17,overcast clouds
159,Bosaso,11.2842,49.1816,85.17,71,18,2.13,SO,2022-10-01 17:12:17,few clouds
160,Raga,8.4596,25.678,75.54,82,82,3.47,SS,2022-10-01 17:12:18,broken clouds
161,Codajas,-3.8367,-62.0569,102.02,30,79,1.63,BR,2022-10-01 17:12:18,broken clouds
162,Saint-Georges,12.0564,-61.7485,84.49,73,100,13.85,GD,2022-10-01 17:09:32,overcast clouds
163,Vila Velha,-20.3297,-40.2925,76.95,74,75,12.66,BR,2022-10-01 17:11:22,broken clouds
164,Astana,51.1801,71.446,24.75,74,0,11.18,KZ,2022-10-01 17:12:19,clear sky
165,Barao De Melgaco,-16.1944,-55.9675,97.7,33,44,4.18,BR,2022-10-01 17:12:19,scattered clouds
166,Korem,12.5058,39.5228,59.81,66,95,4.18,ET,2022-10-01 17:12:20,overcast clouds
167,Bredasdorp,-34.5322,20.0403,56.64,71,100,5.59,ZA,2022-10-01 17:11:00,overcast clouds
168,Nouadhibou,20.931,-17.0347,75.18,69,0,18.41,MR,2022-10-01 17:12:20,clear sky
169,Bonavista,48.6499,-53.1147,61.14,61,11,12.64,CA,2022-10-01 17:12:21,few clouds
170,Muisne,0.6,-80.0333,78.03,72,99,10.29,EC,2022-10-01 17:12:21,overcast clouds
171,Mayumba,-3.432,10.6554,75.45,91,95,7.9,GA,2022-10-01 17:12:22,light rain
172,Savona,44.3,8.2667,62.82,72,24,3.02,IT,2022-10-01 17:12:22,few clouds
173,Bar Harbor,44.3876,-68.2039,62.53,69,0,4.61,US,2022-10-01 17:12:23,clear sky
174,Itarantim,-15.6597,-40.0656,81.09,54,89,6.51,BR,2022-10-01 17:12:23,overcast clouds
175,Aktau,43.65,51.2,66.78,45,62,2.13,KZ,2022-10-01 17:12:23,broken clouds
176,Santa Cruz,-17.8,-63.1667,86.05,39,20,9.22,BO,2022-10-01 17:12:24,few clouds
177,Yining,29.0361,114.5636,78.01,56,2,2.3,CN,2022-10-01 17:12:24,clear sky
178,El Corpus,14.7,-88.9167,77.68,78,100,0.0,HN,2022-10-01 17:12:25,overcast clouds
179,Khndzoresk,39.5122,46.4328,54.01,47,5,2.62,AM,2022-10-01 17:12:25,clear sky
180,Kerchevskiy,59.946,56.2884,43.16,79,100,7.4,RU,2022-10-01 17:13:26,overcast clouds
181,Bashmakovo,53.2133,43.0342,64.74,82,100,14.74,RU,2022-10-01 17:13:26,moderate rain
182,Westport,41.1415,-73.3579,60.03,93,100,12.66,US,2022-10-01 17:13:26,overcast clouds
183,Narnaund,29.2167,76.15,81.1,49,0,4.99,IN,2022-10-01 17:13:27,clear sky
184,Solwezi,-12.1688,26.3894,73.24,27,75,4.05,ZM,2022-10-01 17:13:27,broken clouds
185,Gasa,31.5,34.4667,80.89,71,0,8.01,PS,2022-10-01 17:13:28,clear sky
186,Serenje,-13.2325,30.2352,70.18,27,2,3.65,ZM,2022-10-01 17:13:28,clear sky
187,Izmit,40.7669,29.9169,64.38,82,0,1.14,TR,2022-10-01 17:13:28,clear sky
188,Makinsk,52.6292,70.4169,28.8,57,3,4.68,KZ,2022-10-01 17:13:29,clear sky
189,Bani,18.2833,-70.3333,85.44,73,96,10.2,DO,2022-10-01 17:13:29,overcast clouds
190,Inirida,3.8653,-67.9239,85.46,64,98,3.58,CO,2022-10-01 17:13:29,overcast clouds
191,Maniitsoq,65.4167,-52.9,35.74,65,71,2.21,GL,2022-10-01 17:13:30,broken clouds
192,Bentiu,9.2333,29.8333,78.53,69,6,2.42,SS,2022-10-01 17:13:30,clear sky
193,Umm Kaddadah,13.6017,26.6876,95.65,23,53,7.56,SD,2022-10-01 17:13:30,broken clouds
194,Nurota,40.5614,65.6886,55.53,21,0,11.25,UZ,2022-10-01 17:13:31,clear sky
195,Jumla,29.2747,82.1838,56.62,92,72,1.25,NP,2022-10-01 17:13:31,broken clouds
196,Segou,13.4317,-6.2157,91.18,44,83,4.03,ML,2022-10-01 17:13:31,broken clouds
197,Rocha,-34.4833,-54.3333,65.84,56,10,9.01,UY,2022-10-01 17:12:27,clear sky
198,Arraial Do Cabo,-22.9661,-42.0278,75.06,64,40,19.57,BR,2022-10-01 17:13:32,scattered clouds
199,Dire Dawa,9.5931,41.8661,73.81,64,87,8.25,ET,2022-10-01 17:13:32,overcast clouds
200,Pudozh,61.8099,36.5345,42.49,90,85,3.8,RU,2022-10-01 17:13:33,overcast clouds
201,Taoudenni,22.6783,-3.9836,100.02,12,0,12.41,ML,2022-10-01 17:13:33,clear sky
202,Puri,19.8,85.85,77.52,77,7,2.55,IN,2022-10-01 17:13:33,clear sky
203,Vestmanna,62.1564,-7.1664,49.12,93,100,12.66,FO,2022-10-01 17:13:34,light rain
204,Lexington Park,38.2668,-76.4538,73.08,93,75,16.11,US,2022-10-01 17:13:34,broken clouds
205,Neuquen,-38.9516,-68.0591,75.36,22,54,7.18,AR,2022-10-01 17:13:34,broken clouds
206,Ondangwa,-17.9167,15.95,87.8,20,29,3.44,NA,2022-10-01 17:13:35,scattered clouds
207,Springbok,-29.6643,17.8865,66.06,22,6,4.23,ZA,2022-10-01 17:13:35,clear sky
208,Rio Rita,9.3039,-79.7944,80.8,85,100,7.0,PA,2022-10-01 17:13:35,overcast clouds
209,Saint-Pierre,-21.3393,55.4781,69.48,71,0,9.22,RE,2022-10-01 17:12:40,clear sky
210,La Valette-Du-Var,43.1374,5.9831,70.23,64,0,21.85,FR,2022-10-01 17:13:36,clear sky
211,Marrakesh,31.6315,-8.0083,86.07,26,40,4.61,MA,2022-10-01 17:13:36,scattered clouds
212,Parana,-31.732,-60.5238,80.55,36,2,3.91,AR,2022-10-01 17:13:37,clear sky
213,Ust-Tsilma,65.441,52.1498,39.2,99,100,6.53,RU,2022-10-01 17:13:37,light rain
214,Peniche,39.3558,-9.3811,78.3,58,96,12.06,PT,2022-10-01 17:13:38,overcast clouds
215,Eyrarbakki,63.863,-21.1481,48.25,89,100,17.63,IS,2022-10-01 17:13:38,overcast clouds
216,Gamba,-2.65,10.0,74.5,94,100,7.63,GA,2022-10-01 17:13:38,light rain
217,Mercedes,-34.6515,-59.4307,80.85,25,69,2.64,AR,2022-10-01 17:13:39,broken clouds
218,Gryfino,53.2524,14.4883,57.0,80,100,13.67,PL,2022-10-01 17:13:39,overcast clouds
219,Damaturu,11.747,11.9608,91.13,38,1,7.25,NG,2022-10-01 17:13:40,clear sky
220,Ust-Kulom,61.6864,53.6902,43.32,90,100,7.81,RU,2022-10-01 17:13:40,light rain
221,Tczew,54.0924,18.7779,56.64,68,100,9.04,PL,2022-10-01 17:13:40,light rain
222,Bogandinskiy,56.8937,65.8938,34.07,78,22,6.64,RU,2022-10-01 17:13:41,few clouds
223,Vuktyl,63.8567,57.3094,39.33,92,100,12.35,RU,2022-10-01 17:13:41,light rain
